Age,PopProp,Standard
0,0.0886,WHO
5,0.0869,WHO
10,0.086,WHO
15,0.0847,WHO
20,0.0822,WHO
25,0.0793,WHO
30,0.0761,WHO
35,0.0715,WHO
40,0.0659,WHO
45,0.0604,WHO
50,0.0537,WHO
55,0.0455,WHO
60,0.0372,WHO
65,0.0296,WHO
70,0.0212,WHO
75,0.0152,WHO
80,0.0091,WHO
85,0.006350000000000001,WHO
0,0.08,EU
5,0.07,EU
10,0.07,EU
15,0.07,EU
20,0.07,EU
25,0.07,EU
30,0.07,EU
35,0.07,EU
40,0.07,EU
45,0.07,EU
50,0.07,EU
55,0.06,EU
60,0.05,EU
65,0.04,EU
70,0.03,EU
75,0.02,EU
80,0.01,EU
85,0.01,EU
0,0.1319458779982208,TW
5,0.14263011296936207,TW
10,0.13516835206177388,TW
15,0.12009959001201351,TW
20,0.07682813209178285,TW
25,0.06302745085199205,TW
30,0.06059483912923258,TW
35,0.05831177049088684,TW
40,0.05688413339051709,TW
45,0.046263236890677115,TW
50,0.033546841538328646,TW
55,0.0276949492917318,TW
60,0.019404627171831782,TW
65,0.012656296205364521,TW
70,0.007750910081747357,TW
75,0.004130383616693915,TW
80,0.0020019367575426013,TW
85,0.0010605594503006425,TW
0,0.0955549977112275,ES
5,0.09482938712340314,ES
10,0.08825843655069165,ES
15,0.07879306253985062,ES
20,0.07503163151129201,ES
25,0.06490475028026242,ES
30,0.06103699815124889,ES
35,0.07088632479094228,ES
40,0.06758159600500097,ES
45,0.06259378526050488,ES
50,0.05029546081940962,ES
55,0.048815694218554986,ES
60,0.044661369290976034,ES
65,0.03755520220460996,ES
70,0.026561644804338362,ES
75,0.017270726467687403,ES
80,0.010054246726944799,ES
85,0.005314685543054711,ES
